type,region,name,population,date
городской поселок,Брестская область,Турна Большая,575,
деревня,Минская область,Гричино,580,
деревня,Гродненская область,Мижевичи,200,
деревня,Минская область,Бродок,262,
деревня,Гомельская область,Медков,1052,2004
городской поселок,Минская область,Илья,1458,
городской поселок,Гомельская область,Ченки,4500,2014
деревня,Минская область,Озеричино,247,
деревня,Минская область,Шикотовичи,178,
деревня,Брестская область,Галево,500,
деревня,Минская область,Сосновый Бор,127,
город,Брестская область,Высокое,5164,2016
деревня,Витебская область,Высокое,500,
деревня,Минская область,Гиревичи,500,
деревня,Гродненская область,Минойты,500,
деревня,Брестская область,Видомля,500,
городской поселок,Брестская область,Озяты,591,2009
деревня,Гомельская область,Лукский,1626,2004
городской поселок,Минская область,Замосточье,2500,
деревня,Минская область,Кончаны,216,
деревня,Минская область,Мгле,224,
деревня,Минская область,Новый Свержень,2086,2009
городской поселок,Минская область,Доры,508,2010
городской поселок,Минская область,Засковичи,682,
деревня,Минская область,Габриелевка,835,
городской поселок,Минская область,Лебедево,1047,2009
городской поселок,Гродненская область,Вертелишки,3250,2015
городской поселок,Минская область,Дубровка,813,
деревня,Витебская область,Дачная,500,
городской поселок,Брестская область,Пески,1946,2009
деревня,Минская область,Заямное,63,
деревня,Минская область,Пережир,457,
деревня,Минская область,Первомайск,447,2009
деревня,Минская область,Усяжа,378,
городской поселок,Могилевская область,Буйничи,1538,2007
городской поселок,Гродненская область,Еремичи,287,2009
деревня,Брестская область,Еремичи,629,2016
городской поселок,Гродненская область,Ворняны,1341,2014
деревня,Брестская область,Костычи,52,2009
деревня,Брестская область,Вычулки,500,
деревня,Минская область,Плебанцы,230,
городской поселок,Брестская область,Столовичи,639,
деревня,Брестская область,Магдалин,757,2016
городской поселок,Минская область,Крупица,1101,
деревня,Гомельская область,Огородня Гомельская,98,2004
городской поселок,Витебская область,Межево,888,2009
деревня,Гродненская область,Скрибовцы,500,
деревня,Минская область,Новый Путь,500,
деревня,Гомельская область,Червоное,1490,2004
городской поселок,Гродненская область,Залесье,958,2009
городской поселок,Минская область,Сырмеж,120,1997
деревня,Гродненская область,Дулевцы,238,2015
деревня,Минская область,Чуриловичи,873,
городской поселок,Минская область,Задорье,276,
деревня,Витебская область,Новое Село,100,
деревня,Минская область,Юхновка,800,2015
деревня,Гомельская область,Дуяновка,533,2004
городской поселок,Брестская область,Остромечево,1886,2009
городской поселок,Брестская область,Стригинь,695,2009
деревня,Гродненская область,Невда,500,
городской поселок,Минская область,Велятичи,1388,2008
городской поселок,Гродненская область,Путришки,500,
деревня,Брестская область,Почапово,212,2009
городской поселок,Витебская область,Прозороки,452,2007
городской поселок,Гродненская область,Каменка,525,2009
деревня,Витебская область,Шуневцы,500,
деревня,Гомельская область,Кольно,773,2004
городской поселок,Брестская область,Лука,593,2016
деревня,Гродненская область,Рожанка,2280,2001
городской поселок,Минская область,Вишневка,1034,2010
деревня,Могилевская область,Вишневка,358,2009
деревня,Брестская область,Бытень,2815,2011
деревня,Гродненская область,Берестовица,500,
городской поселок,Брестская область,Дмитровичи,588,2009
деревня,Минская область,Тимковичи,1241,2018
деревня,Минская область,Рассвет,500,
деревня,Минская область,Крыжовка,168,2010
деревня,Минская область,Любковщина,500,
деревня,Минская область,Щербины,62,
деревня,Минская область,Озеро,7,
деревня,Минская область,Гарбузы,332,
городской поселок,Могилевская область,Кадино,1753,2006
городской поселок,Брестская область,Беловежский,2480,2019
,Минская область,Деревня,100,
деревня,Гродненская область,Житомля,200,
городской поселок,Минская область,Даниловичи,387,
деревня,Минская область,Тарасово,1345,2010
деревня,Минская область,Старое Село,658,2010
деревня,Минская область,Зацень,162,
деревня,Гродненская область,Квасовка,200,
деревня,Гродненская область,Ёдки,520,
деревня,Минская область,Маческ,200,
деревня,Минская область,Малые Нестановичи,246,
городской поселок,Минская область,Людвиново,832,
городской поселок,Брестская область,Малеч,1754,2009
деревня,Гомельская область,Борщовка,724,2004
деревня,Минская область,Жабичи,25,
деревня,Минская область,Кухтичи,447,2009
деревня,Гомельская область,Люденевичи,1020,2004
деревня,Могилевская область,Сосновый,200,
деревня,Брестская область,Кореневщина,189,2009
деревня,Минская область,Щитомиричи,371,
деревня,Гомельская область,Дуброва,587,2004
деревня,Могилевская область,Дуброва,200,
,Минская область,Дуброва,200,
городской поселок,Минская область,Ударный,878,
деревня,Витебская область,Витьба,200,
городской поселок,Брестская область,Каменюки,601,2005
деревня,Минская область,Каменная Горка,83,2010
деревня,Витебская область,Прудники,500,
деревня,Минская область,Каролина,253,
городской поселок,Минская область,Сенница,6424,2011
городской поселок,Минская область,Метличицы,557,
деревня,Витебская область,Мурашки,500,
деревня,Брестская область,Новые Засимовичи,500,
город,Минская область,Щомыслица,54000,
деревня,Витебская область,Добромысли,250,
деревня,Гомельская область,Турсковый,227,2004
деревня,Брестская область,Леплевка,426,2009
городской поселок,Могилевская область,Жиличи,1131,2009
деревня,Могилевская область,Голынец,500,
